include,name,country,substrate,category,description_es,microbiota,source_ref
yes,Tell,Ethiopia,"Barley (H. vulgare L.), wheat (Triticum aestivum L.), maize (Zea mays L.), finger millet (Eleusine coracana L.), sorghum (Sorghum bicolor L.), “teff” (Eragrostis tef L.), “gesho” (R. prinoides)",fermento_cereal,"Fermento tradicional del Este de África (Ethiopia); materia prima: Barley (H. vulgare L.), wheat (Triticum aestivum L.), maize (Zea mays L.), finger millet (Eleusine coracana L.), sorghum (Sorghum bicolor L.), “teff” (Eragrostis tef L.), “gesho” (R. prinoides).",,Food Sci Nutr. (2025) PMC11877266 — Andualem et al. (2017)
yes,Book,Ethiopia (Oromia Guji),"Honey, bladder of cow",otro,"Fermento tradicional del Este de África (Ethiopia (Oromia Guji)); materia prima: Honey, bladder of cow.",,Food Sci Nutr. (2025) PMC11877266 — Elema et al. (2018)
yes,Chek,Ethiopia,"Sorghum (S. bicolor), maize (Z. mays), finger millet (E. coracana), vegetables, root of taro (Colocasia esculenta L.)",fermento_cereal,"Fermento tradicional del Este de África (Ethiopia); materia prima: Sorghum (S. bicolor), maize (Z. mays), finger millet (E. coracana), vegetables, root of taro (Colocasia esculenta L.).",,Food Sci Nutr. (2025) PMC11877266 — Alemayehu (2018)
yes,Suw,"Ethiopia, Eritrea","Sorghum, millet",fermento_cereal,"Fermento tradicional del Este de África (Ethiopia, Eritrea); materia prima: Sorghum, millet.",,Food Sci Nutr. (2025) PMC11877266 — Tadesse et al. (2020)
yes,Assed,Somalia,Porridge‐like dish from sorghum or corn,fermento_cereal,Fermento tradicional del Este de África (Somalia); materia prima: Porridge‐like dish from sorghum or corn.,,Food Sci Nutr. (2025) PMC11877266 — *PC
yes,Cambuulo,"Somalia, Djibouti",Azuki beans,otro,"Fermento tradicional del Este de África (Somalia, Djibouti); materia prima: Azuki beans.",,Food Sci Nutr. (2025) PMC11877266 — Wolgamuth et al. (2022)
yes,Borde,Ethiopia,"Maize, sorghum, wheat, finger millet, teff, and barley",fermento_cereal,"Fermento tradicional del Este de África (Ethiopia); materia prima: Maize, sorghum, wheat, finger millet, teff, and barley.",,Food Sci Nutr. (2025) PMC11877266 — Abegaz et al. (2002)
yes,Garrobey,Djibouti,Barley,fermento_cereal,Fermento tradicional del Este de África (Djibouti); materia prima: Barley.,,Food Sci Nutr. (2025) PMC11877266 — *PC
yes,Maris,Djibouti,Millet,fermento_cereal,Fermento tradicional del Este de África (Djibouti); materia prima: Millet.,,Food Sci Nutr. (2025) PMC11877266 — *PC
yes,Togw,Tanzania,Finger millet/sorghum,fermento_cereal,Fermento tradicional del Este de África (Tanzania); materia prima: Finger millet/sorghum.,,Food Sci Nutr. (2025) PMC11877266 — Mugula et al. (2003)
yes,Denge/dengclu,Tanzania,"Sugar cane juice, “Ikisha” (Kigelia africana) and “Kisapa” (Aloe pluridens)",otro,"Fermento tradicional del Este de África (Tanzania); materia prima: Sugar cane juice, “Ikisha” (Kigelia africana) and “Kisapa” (Aloe pluridens).",,Food Sci Nutr. (2025) PMC11877266 — Tarimo and Kaale (2023)
yes,Gongo,Tanzania,"Cassava, germinating maize",fermento_cereal,"Fermento tradicional del Este de África (Tanzania); materia prima: Cassava, germinating maize.",,Food Sci Nutr. (2025) PMC11877266 — Francis et al. (2017)
yes,Kiambule,Tanzania,Fermented porridge of germinated maize flour,fermento_cereal,Fermento tradicional del Este de África (Tanzania); materia prima: Fermented porridge of germinated maize flour.,,Food Sci Nutr. (2025) PMC11877266 — Kubo (2014)
yes,Kimpumu,Tanzania,Fermented porridge of germinated finger millet flour,fermento_cereal,Fermento tradicional del Este de África (Tanzania); materia prima: Fermented porridge of germinated finger millet flour.,,Food Sci Nutr. (2025) PMC11877266 — Kubo (2014)
yes,Komoni,Tanzania,Germinated maize flour,fermento_cereal,Fermento tradicional del Este de África (Tanzania); materia prima: Germinated maize flour.,,Food Sci Nutr. (2025) PMC11877266 — Tusekwa et al. (2000)
yes,Mbege,Tanzania,Fermented porridge of ripe banana,fermento_cereal,Fermento tradicional del Este de África (Tanzania); materia prima: Fermented porridge of ripe banana.,,Food Sci Nutr. (2025) PMC11877266 — Francis et al. (2017)
yes,Orubisi/amarw,Tanzania,Fermented of ripe banana,fermento_cereal,Fermento tradicional del Este de África (Tanzania); materia prima: Fermented of ripe banana.,,Food Sci Nutr. (2025) PMC11877266 — Tusekwa et al. (2000)
yes,Ulanzi,Tanzania,–,otro,Fermento tradicional del Este de África (Tanzania); materia prima: –.,,Food Sci Nutr. (2025) PMC11877266 — Tusekwa et al. (2000)
yes,Waini,Tanzania,–,otro,Fermento tradicional del Este de África (Tanzania); materia prima: –.,,Food Sci Nutr. (2025) PMC11877266 — Francis et al. (2017)
yes,Omuramb,Uganda,Sorghum,fermento_cereal,Fermento tradicional del Este de África (Uganda); materia prima: Sorghum.,,Food Sci Nutr. (2025) PMC11877266 — Robert (2011)
yes,Enturire,Uganda,"Sorghum, honey",fermento_cereal,"Fermento tradicional del Este de África (Uganda); materia prima: Sorghum, honey.",,Food Sci Nutr. (2025) PMC11877266 — Lyumugabe et al. (2012)
yes,Obutoko,Uganda,Finger millet/sorghum,fermento_cereal,Fermento tradicional del Este de África (Uganda); materia prima: Finger millet/sorghum.,,Food Sci Nutr. (2025) PMC11877266 — Mukisa et al. (2012)
yes,Obusher,Uganda,Finger millet/sorghum,fermento_cereal,Fermento tradicional del Este de África (Uganda); materia prima: Finger millet/sorghum.,,Food Sci Nutr. (2025) PMC11877266 — Mukisa et al. (2010)
yes,Obuteire,Uganda,Finger millet,fermento_cereal,Fermento tradicional del Este de África (Uganda); materia prima: Finger millet.,,Food Sci Nutr. (2025) PMC11877266 — Mukisa et al. (2012)
yes,Kirario,Kenya,"Green maize, millet, sorghum",fermento_cereal,"Fermento tradicional del Este de África (Kenya); materia prima: Green maize, millet, sorghum.",,Food Sci Nutr. (2025) PMC11877266 — Kunyanga et al. (2009)
yes,Mkarango,Kenya,Maize,fermento_cereal,Fermento tradicional del Este de África (Kenya); materia prima: Maize.,,Food Sci Nutr. (2025) PMC11877266 — Mwizerwa et al. (2018)
yes,Busher,Uganda,"Sorghum, millet",fermento_cereal,"Fermento tradicional del Este de África (Uganda); materia prima: Sorghum, millet.",,Food Sci Nutr. (2025) PMC11877266 — Muyanja et al. (2003)
yes,Buss,Kenya,Maize,fermento_cereal,Fermento tradicional del Este de África (Kenya); materia prima: Maize.,,Food Sci Nutr. (2025) PMC11877266 — Katongole (2008)
yes,Malw,Uganda,Millet,fermento_cereal,Fermento tradicional del Este de África (Uganda); materia prima: Millet.,,Food Sci Nutr. (2025) PMC11877266 — Muyanja et al. (2010)
yes,Kwete,Uganda,"Sorghum, maize",fermento_cereal,"Fermento tradicional del Este de África (Uganda); materia prima: Sorghum, maize.",,Food Sci Nutr. (2025) PMC11877266 — Muyanja et al. (2009)
yes,Uji,Kenya,"Maize, millet, sorghum",fermento_cereal,"Fermento tradicional del Este de África (Kenya); materia prima: Maize, millet, sorghum.",,Food Sci Nutr. (2025) PMC11877266 — Wanjala et al. (2016)
yes,Mes,"Ethiopia, Eritrea","Honey, “gesho” (R. prinoides)",otro,"Fermento tradicional del Este de África (Ethiopia, Eritrea); materia prima: Honey, “gesho” (R. prinoides).",,Food Sci Nutr. (2025) PMC11877266 — Tadesse et al. (2020)
